volume,current,doi,journal-title,title,start-end-page,author,type,datetime
479,Chemical sciences November 2011,10.1038/nature10563,Nature,Synthesis of macrocyclic natural products by catalyst-controlled stereoselective ring-closing metathesis,", 88–93 (","Miao Yu,Chenbo Wang,Andrew F. Kyle,Pavol Jakubec,Darren J. Dixon,Richard R. Schrock,Amir H. Hoveyda",Letter,02 November 2011
479,Chemical sciences November 2011,10.1038/nature10568,Nature,"Structure and function of the AAA,+, protein CbbX, a red-type Rubisco activase",", 194–199 (","Oliver Mueller-Cajar,Mathias Stotz,Petra Wendler,F. Ulrich Hartl,Andreas Bracher,Manajit Hayer-Hartl",Article,02 November 2011
483,Chemical sciences February 2012,10.1038/483042a,Nature,Catalysis: Disguise gets a reaction,", 42–43 (","Danielle M. Schultz,John P. Wolfe",News and Views,29 February 2012
483,Chemical sciences February 2012,10.1038/nature10883,Nature,Recognition of SUMO-modified PCNA requires tandem receptor motifs in Srs2,", 59–63 (","Anthony A. Armstrong,Firaz Mohideen,Christopher D. Lima",Article,29 February 2012
483,Chemical sciences February 2012,10.1038/nature10785,Nature,Catalytic functionalization of unactivated primary C–H bonds directed by an alcohol,", 70–73 (","Eric M. Simmons,John F. Hartwig",Letter,29 February 2012
484,Chemical sciences February 2012,10.1038/nature10931,Nature,Structural basis of ultraviolet-B perception by UVR8,", 214–219 (","Di Wu,Qi Hu,Zhen Yan,Wen Chen,Chuangye Yan,Xi Huang,Jing Zhang,Panyu Yang,Haiteng Deng,Jiawei Wang,XingWang Deng,Yigong Shi",Article,29 February 2012
482,Chemical sciences February 2012,10.1038/482474a,Nature,Cell biology: Collagen secretion explained,", 474–475 (",David J. Stephens,News and Views,22 February 2012
482,Chemical sciences February 2012,10.1038/482477a,Nature,Materials science: Cell environments programmed with light,", 477–478 (",Matthias P. Lutolf,News and Views,22 February 2012
482,Chemical sciences February 2012,10.1038/482480a,Nature,Structural biology: Muscarinic receptors become crystal clear,", 480–481 (","Rebecca L. Kow,Neil M. Nathanson",News and Views,22 February 2012
482,Chemical sciences February 2012,10.1038/nature10822,Nature,Ubiquitin-dependent regulation of COPII coat size and function,", 495–500 (","Lingyan Jin,Kanika Bajaj Pahuja,Katherine E. Wickliffe,Amita Gorur,Christine Baumgärtel,Randy Schekman,Michael Rape",Article,22 February 2012
482,Chemical sciences February 2012,10.1038/nature10829,Nature,Structural basis of highly conserved ribosome recycling in eukaryotes and archaea,", 501–506 (","Thomas Becker,Sibylle Franckenberg,Stephan Wickles,Christopher J. Shoemaker,Andreas M. Anger,Jean-Paul Armache,Heidemarie Sieber,Charlotte Ungewickell,Otto Berninghausen,Ingo Daberkow,Annette Karcher,Michael Thomm,Karl-Peter Hopfner,Rachel Green,Roland Beckmann",Article,22 February 2012
482,Chemical sciences February 2012,10.1038/nature10867,Nature,Structure and dynamics of the M3 muscarinic acetylcholine receptor,", 552–556 (","Andrew C. Kruse,Jianxin Hu,Albert C. Pan,Daniel H. Arlow,Daniel M. Rosenbaum,Erica Rosemond,Hillary F. Green,Tong Liu,Pil Seok Chae,Ron O. Dror,David E. Shaw,William I. Weis,Jürgen Wess,Brian K. Kobilka",Letter,22 February 2012
483,Chemical sciences February 2012,10.1038/nature10911,Nature,The mechanism of OTUB1-mediated inhibition of ubiquitination,", 618–622 (","Reuven Wiener,Xiangbin Zhang,Tao Wang,Cynthia Wolberger",Letter,22 February 2012
482,Chemical sciences February 2012,10.1038/nature10764,Nature,Isotope fractionation in silicate melts,", E1 (","Daniel J. Lacks,James A. Van Orman,Charles E. Lesher",Brief Communication Arising,15 February 2012
482,Chemical sciences February 2012,10.1038/nature10765,Nature,"Dominguez ,et al., reply",", E1 (","G. Dominguez,G. Wilkins,M. H. Thiemens",Brief Communication Arising,15 February 2012
482,Chemical sciences February 2012,10.1038/482312a,Nature,Analytical chemistry: Ultrasensitive radiocarbon detection,", 312–313 (",Richard N. Zare,News and Views,15 February 2012
483,Chemical sciences February 2012,10.1038/nature10898,Nature,"Transformation by the (,R,)-enantiomer of 2-hydroxyglutarate linked to EGLN activation",", 484–488 (","Peppi Koivunen,Sungwoo Lee,Christopher G. Duncan,Giselle Lopez,Gang Lu,Shakti Ramkissoon,Julie A. Losman,Päivi Joensuu,Ulrich Bergmann,Stefan Gross,Jeremy Travins,Samuel Weiss,Ryan Looper,Keith L. Ligon,Roel G. W. Verhaak,Hai Yan,William G. Kaelin Jr",Letter,15 February 2012
483,Chemical sciences February 2012,10.1038/nature10823,Nature,"Structural basis for iron piracy by pathogenic ,Neisseria",", 53–58 (","Nicholas Noinaj,Nicole C. Easley,Muse Oke,Naoko Mizuno,James Gumbart,Evzen Boura,Ashley N. Steere,Olga Zak,Philip Aisen,Emad Tajkhorshid,Robert W. Evans,Andrew R. Gorringe,Anne B. Mason,Alasdair C. Steven,Susan K. Buchanan",Article,12 February 2012
482,Chemical sciences February 2012,10.1038/nature10806,Nature,The same pocket in menin binds both MLL and JUND but has opposite effects on transcription,", 542–546 (","Jing Huang,Buddha Gurung,Bingbing Wan,Smita Matkar,Natalia A. Veniaminova,Ke Wan,Juanita L. Merchant,Xianxin Hua,Ming Lei",Letter,12 February 2012
482,Chemical sciences February 2012,10.1038/nature10804,Nature,Functional dissection of lysine deacetylases reveals that HDAC1 and p300 regulate AMPK,", 251–255 (","Yu-yi Lin,Samara Kiihl,Yasir Suhail,Shang-Yun Liu,Yi-hsuan Chou,Zheng Kuang,Jin-ying Lu,Chin Ni Khor,Chi-Long Lin,Joel S. Bader,Rafael Irizarry,Jef D. Boeke",Letter,08 February 2012
